Date,Open,High,Low,Close*,Adj Close**,Volume
5-Apr-18,"7,099.25","7,112.38","7,036.62","7,076.55","7,076.55","2,124,660,000"
4-Apr-18,"6,811.77","7,059.29","6,811.77","7,042.11","7,042.11","2,254,070,000"
3-Apr-18,"6,924.35","6,963.71","6,835.23","6,941.28","6,941.28","2,328,510,000"
2-Apr-18,"7,016.17","7,044.71","6,805.96","6,870.12","6,870.12","2,394,730,000"
29-Mar-18,"6,984.66","7,120.46","6,935.78","7,063.45","7,063.45","2,554,500,000"
28-Mar-18,"6,978.30","7,036.09","6,901.07","6,949.23","6,949.23","2,518,670,000"
27-Mar-18,"7,255.47","7,255.54","6,963.68","7,008.81","7,008.81","2,325,990,000"
26-Mar-18,"7,125.20","7,225.83","7,022.34","7,220.54","7,220.54","2,326,060,000"
23-Mar-18,"7,170.68","7,194.31","6,992.67","6,992.67","6,992.67","2,390,410,000"
22-Mar-18,"7,257.55","7,303.19","7,164.38","7,166.68","7,166.68","2,347,160,000"
21-Mar-18,"7,347.50","7,415.66","7,325.35","7,345.29","7,345.29","1,988,390,000"
20-Mar-18,"7,353.25","7,380.74","7,331.24","7,364.30","7,364.30","1,967,690,000"
19-Mar-18,"7,419.20","7,421.23","7,285.27","7,344.24","7,344.24","2,327,430,000"
16-Mar-18,"7,504.37","7,514.21","7,473.68","7,481.99","7,481.99","3,046,990,000"
15-Mar-18,"7,509.24","7,525.44","7,463.19","7,481.74","7,481.74","1,991,570,000"
14-Mar-18,"7,539.78","7,544.89","7,473.90","7,496.81","7,496.81","2,104,450,000"
13-Mar-18,"7,627.52","7,637.27","7,492.98","7,511.01","7,511.01","2,448,830,000"
12-Mar-18,"7,581.04","7,609.10","7,563.44","7,588.32","7,588.32","2,294,440,000"
9-Mar-18,"7,475.98","7,560.81","7,469.03","7,560.81","7,560.81","2,302,930,000"
8-Mar-18,"7,422.77","7,435.01","7,391.50","7,427.95","7,427.95","2,272,110,000"
7-Mar-18,"7,311.74","7,403.79","7,311.74","7,396.65","7,396.65","2,192,230,000"
6-Mar-18,"7,366.61","7,378.03","7,319.68","7,372.01","7,372.01","2,112,570,000"
5-Mar-18,"7,222.89","7,350.07","7,205.31","7,330.71","7,330.71","2,066,350,000"
2-Mar-18,"7,099.54","7,267.19","7,084.83","7,257.87","7,257.87","2,287,320,000"
1-Mar-18,"7,274.75","7,307.85","7,117.66","7,180.56","7,180.56","2,489,040,000"
28-Feb-18,"7,371.41","7,386.80","7,273.01","7,273.01","7,273.01","2,373,880,000"
27-Feb-18,"7,416.17","7,438.09","7,330.35","7,330.35","7,330.35","2,155,850,000"
26-Feb-18,"7,373.30","7,421.85","7,360.25","7,421.46","7,421.46","1,866,610,000"
23-Feb-18,"7,261.35","7,337.83","7,232.50","7,337.39","7,337.39","1,879,460,000"
22-Feb-18,"7,252.46","7,280.93","7,194.84","7,210.09","7,210.09","1,911,900,000"
21-Feb-18,"7,258.48","7,338.64","7,218.11","7,218.23","7,218.23","1,946,010,000"
20-Feb-18,"7,209.03","7,295.95","7,206.00","7,234.31","7,234.31","1,911,170,000"
16-Feb-18,"7,236.51","7,303.26","7,226.38","7,239.47","7,239.47","2,019,830,000"
15-Feb-18,"7,200.75","7,256.93","7,130.39","7,256.43","7,256.43","2,110,700,000"
14-Feb-18,"6,979.24","7,152.05","6,977.07","7,143.62","7,143.62","2,211,460,000"
13-Feb-18,"6,942.16","7,025.68","6,938.16","7,013.51","7,013.51","1,816,670,000"
12-Feb-18,"6,936.68","7,023.62","6,879.69","6,981.96","6,981.96","2,240,420,000"
9-Feb-18,"6,863.34","6,917.01","6,630.67","6,874.49","6,874.49","3,155,990,000"
8-Feb-18,"7,067.30","7,073.99","6,776.77","6,777.16","6,777.16","2,707,700,000"
7-Feb-18,"7,086.20","7,170.34","7,051.53","7,051.98","7,051.98","2,366,970,000"
6-Feb-18,"6,837.56","7,126.55","6,824.82","7,115.88","7,115.88","3,131,030,000"
5-Feb-18,"7,165.96","7,277.36","6,967.53","6,967.53","6,967.53","3,106,870,000"
2-Feb-18,"7,347.59","7,364.43","7,238.18","7,240.95","7,240.95","2,587,770,000"
1-Feb-18,"7,377.17","7,441.09","7,362.28","7,385.86","7,385.86","2,291,680,000"
31-Jan-18,"7,443.25","7,453.99","7,381.12","7,411.48","7,411.48","2,407,540,000"
30-Jan-18,"7,388.89","7,433.65","7,373.99","7,402.48","7,402.48","2,163,980,000"
29-Jan-18,"7,484.47","7,500.61","7,455.55","7,466.51","7,466.51","2,103,380,000"
26-Jan-18,"7,448.33","7,505.77","7,431.22","7,505.77","7,505.77","2,059,010,000"
25-Jan-18,"7,457.95","7,458.53","7,388.58","7,411.16","7,411.16","2,061,450,000"
24-Jan-18,"7,474.16","7,486.32","7,376.75","7,415.06","7,415.06","2,277,010,000"
23-Jan-18,"7,424.95","7,465.39","7,423.18","7,460.29","7,460.29","2,119,840,000"
22-Jan-18,"7,338.04","7,408.03","7,332.81","7,408.03","7,408.03","2,106,070,000"
19-Jan-18,"7,312.00","7,336.38","7,297.28","7,336.38","7,336.38","1,997,270,000"
18-Jan-18,"7,293.65","7,313.89","7,276.11","7,296.05","7,296.05","2,026,220,000"
17-Jan-18,"7,257.77","7,309.36","7,229.32","7,298.28","7,298.28","2,238,070,000"
16-Jan-18,"7,307.19","7,330.33","7,205.93","7,223.69","7,223.69","2,377,140,000"
12-Jan-18,"7,208.17","7,265.26","7,205.18","7,261.06","7,261.06","1,976,200,000"
11-Jan-18,"7,168.73","7,211.78","7,163.23","7,211.78","7,211.78","2,009,740,000"
10-Jan-18,"7,129.83","7,154.24","7,111.52","7,153.57","7,153.57","2,122,740,000"
9-Jan-18,"7,174.19","7,181.14","7,148.30","7,163.58","7,163.58","2,107,300,000"
8-Jan-18,"7,135.38","7,161.35","7,124.09","7,157.39","7,157.39","2,051,430,000"
5-Jan-18,"7,105.74","7,137.04","7,097.08","7,136.56","7,136.56","2,020,900,000"
4-Jan-18,"7,089.50","7,098.05","7,072.38","7,077.91","7,077.91","2,098,890,000"
3-Jan-18,"7,017.07","7,069.15","7,016.70","7,065.53","7,065.53","2,166,780,000"
2-Jan-18,"6,937.65","7,006.91","6,924.08","7,006.90","7,006.90","1,914,930,000"
29-Dec-17,"6,952.61","6,954.98","6,903.39","6,903.39","6,903.39","1,571,730,000"
28-Dec-17,"6,953.38","6,954.80","6,936.75","6,950.16","6,950.16","1,311,320,000"
27-Dec-17,"6,941.45","6,955.38","6,931.34","6,939.34","6,939.34","1,409,540,000"
26-Dec-17,"6,928.92","6,942.14","6,915.56","6,936.25","6,936.25","1,304,340,000"
22-Dec-17,"6,958.02","6,962.26","6,944.45","6,959.96","6,959.96","1,539,250,000"
21-Dec-17,"6,972.88","6,992.63","6,961.21","6,965.36","6,965.36","1,815,620,000"
20-Dec-17,"6,991.25","6,991.25","6,935.42","6,960.96","6,960.96","1,874,550,000"
19-Dec-17,"6,991.25","6,995.88","6,951.49","6,963.85","6,963.85","2,071,060,000"
18-Dec-17,"6,980.40","7,003.89","6,975.54","6,994.76","6,994.76","2,144,360,000"
15-Dec-17,"6,871.55","6,945.82","6,871.45","6,936.58","6,936.58","3,510,420,000"
14-Dec-17,"6,887.38","6,901.13","6,851.63","6,856.53","6,856.53","1,985,200,000"
13-Dec-17,"6,880.41","6,897.62","6,871.87","6,875.80","6,875.80","1,919,560,000"
